CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F998,F999,F1000,F1001,F2384,F359325,F359336,
,,,,,Deprivation; classification of household [E][S][W] : Household is deprived in 1 dimension - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 2 dimensions - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 3 dimensions - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 4 dimensions - Unit : Households,Population (usual residents) : All usual residents - Unit : Persons,Age : Age 16 to 24 - Economic activity : Economically inactive - Sex : Males - Unit : Persons,Age : Age 25 to 34 - Economic activity : Economically inactive - Sex : Males - Unit : Persons,
24294,E01005169,Manchester 045C,Lower Super Output Areas and Data Zones,LSOADZ,143,52,7,1,1367,54,7,
24295,E01005170,Manchester 045D,Lower Super Output Areas and Data Zones,LSOADZ,174,71,11,0,1531,29,5,
24296,E01005171,Manchester 045E,Lower Super Output Areas and Data Zones,LSOADZ,219,116,23,1,1697,37,8,
24297,E01005172,Manchester 043A,Lower Super Output Areas and Data Zones,LSOADZ,229,111,21,16,1600,40,13,
24298,E01005173,Manchester 043B,Lower Super Output Areas and Data Zones,LSOADZ,177,63,19,3,1547,35,15,
24299,E01005174,Manchester 043C,Lower Super Output Areas and Data Zones,LSOADZ,151,53,8,1,1570,44,3,
24300,E01005175,Manchester 043D,Lower Super Output Areas and Data Zones,LSOADZ,185,103,27,5,1605,26,13,
24301,E01005176,Manchester 043E,Lower Super Output Areas and Data Zones,LSOADZ,209,81,25,7,1806,20,9,
24302,E01005177,Manchester 043F,Lower Super Output Areas and Data Zones,LSOADZ,164,94,15,0,1339,20,11,
24303,E01005178,Manchester 030A,Lower Super Output Areas and Data Zones,LSOADZ,219,189,77,8,1968,108,28,
24304,E01005179,Manchester 030B,Lower Super Output Areas and Data Zones,LSOADZ,308,168,53,9,2235,54,43,
24305,E01005180,Manchester 030C,Lower Super Output Areas and Data Zones,LSOADZ,232,227,98,14,1847,61,24,
24306,E01005181,Manchester 030D,Lower Super Output Areas and Data Zones,LSOADZ,232,126,35,4,2140,80,25,
24307,E01005182,Manchester 030E,Lower Super Output Areas and Data Zones,LSOADZ,165,135,39,3,1610,81,13,
24308,E01005183,Manchester 030F,Lower Super Output Areas and Data Zones,LSOADZ,222,194,113,7,1779,67,22,
24309,E01005184,Manchester 032A,Lower Super Output Areas and Data Zones,LSOADZ,258,139,35,3,2121,236,33,
24310,E01005185,Manchester 032B,Lower Super Output Areas and Data Zones,LSOADZ,209,64,13,0,4024,1191,53,
24311,E01005186,Manchester 020B,Lower Super Output Areas and Data Zones,LSOADZ,347,258,100,9,2376,60,31,
24312,E01005187,Manchester 021A,Lower Super Output Areas and Data Zones,LSOADZ,285,179,85,9,1926,35,19,
24313,E01005188,Manchester 021B,Lower Super Output Areas and Data Zones,LSOADZ,255,168,57,1,1714,43,10,
24314,E01005189,Manchester 017D,Lower Super Output Areas and Data Zones,LSOADZ,267,273,115,18,1691,33,23,
24315,E01005190,Manchester 017E,Lower Super Output Areas and Data Zones,LSOADZ,308,228,107,8,2017,54,19,
24316,E01005191,Manchester 021C,Lower Super Output Areas and Data Zones,LSOADZ,273,223,111,6,1657,22,27,
24317,E01005192,Manchester 021D,Lower Super Output Areas and Data Zones,LSOADZ,240,152,56,11,1584,28,16,
24318,E01005193,Manchester 021E,Lower Super Output Areas and Data Zones,LSOADZ,287,185,62,6,1798,23,13,
24319,E01005194,Manchester 027A,Lower Super Output Areas and Data Zones,LSOADZ,315,253,117,15,2589,101,68,
24320,E01005195,Manchester 023A,Lower Super Output Areas and Data Zones,LSOADZ,236,229,78,10,1986,54,22,
24321,E01005196,Manchester 023B,Lower Super Output Areas and Data Zones,LSOADZ,283,229,119,11,2376,65,29,
24322,E01005197,Manchester 023C,Lower Super Output Areas and Data Zones,LSOADZ,227,201,86,12,1566,35,30,
24323,E01005198,Manchester 023D,Lower Super Output Areas and Data Zones,LSOADZ,208,190,96,13,1570,46,23,
24324,E01005199,Manchester 027B,Lower Super Output Areas and Data Zones,LSOADZ,299,212,65,6,2273,39,46,
24325,E01005200,Manchester 027C,Lower Super Output Areas and Data Zones,LSOADZ,246,179,75,5,1831,39,33,
24326,E01005201,Manchester 023E,Lower Super Output Areas and Data Zones,LSOADZ,299,216,82,15,2016,45,31,
24327,E01005202,Manchester 009A,Lower Super Output Areas and Data Zones,LSOADZ,254,233,148,14,1778,38,21,
24328,E01005203,Manchester 009B,Lower Super Output Areas and Data Zones,LSOADZ,260,317,170,9,1905,39,46,
24329,E01005205,Manchester 006B,Lower Super Output Areas and Data Zones,LSOADZ,302,294,132,13,1987,44,22,
24330,E01005206,Manchester 006C,Lower Super Output Areas and Data Zones,LSOADZ,267,165,68,13,1693,32,31,
24331,E01005207,Manchester 006D,Lower Super Output Areas and Data Zones,LSOADZ,304,192,75,7,1915,42,20,
24332,E01005208,Manchester 019A,Lower Super Output Areas and Data Zones,LSOADZ,387,190,59,11,2338,120,127,
24333,E01005209,Manchester 019B,Lower Super Output Areas and Data Zones,LSOADZ,318,186,78,8,2699,399,116,
24334,E01005210,Manchester 019C,Lower Super Output Areas and Data Zones,LSOADZ,274,139,76,11,3244,754,124,
24335,E01005212,Manchester 057A,Lower Super Output Areas and Data Zones,LSOADZ,232,129,54,6,2110,296,66,
24336,E01005213,Manchester 059A,Lower Super Output Areas and Data Zones,LSOADZ,387,281,117,12,2189,78,50,
24337,E01005214,Manchester 019D,Lower Super Output Areas and Data Zones,LSOADZ,296,120,40,6,2279,129,72,
24338,E01005215,Manchester 034C,Lower Super Output Areas and Data Zones,LSOADZ,264,162,58,6,2004,45,38,
24339,E01005216,Manchester 034D,Lower Super Output Areas and Data Zones,LSOADZ,182,116,24,3,1526,20,9,
24340,E01005217,Manchester 034E,Lower Super Output Areas and Data Zones,LSOADZ,213,125,27,5,1905,62,6,
24341,E01005218,Manchester 034F,Lower Super Output Areas and Data Zones,LSOADZ,191,157,52,10,1683,129,23,
24342,E01005219,Manchester 031A,Lower Super Output Areas and Data Zones,LSOADZ,303,201,73,12,2073,92,48,
24343,E01005220,Manchester 031B,Lower Super Output Areas and Data Zones,LSOADZ,237,153,59,3,1849,40,33,
24344,E01005221,Manchester 031C,Lower Super Output Areas and Data Zones,LSOADZ,247,164,63,6,2248,60,27,
